community_cards_flop,community_cards_turn,community_cards_river,winners,uncalled_amount,pot,profits,players_active,player1_card,player1_action,player2_card,player2_action,player3_card,player3_action,player4_card,player4_action,player5_card,player5_action,player6_card,player6_action
"['7d', '5h', '9d']",['7c'],['Qh'],[1],230,520,"[310.0, -100.0, 0.0, -210.0, 0.0, 0.0]","[1, 0, 0, 0, 0, 0]","['Tc', 'Qc']","['calls 160', 'checks', 'checks', 'bets 230']","['8s', '4c']",['folds'],"['9c', '3d']",['folds'],"['Ah', '4h']","['raises 110 to 210', 'checks', 'checks', 'folds']","['Th', '5s']",['folds'],"['6c', '7s']",['folds']
"['7s', '9c', 'Tc']",['2c'],,[3],600,940,"[-50.0, -445.0, 495.0, 0.0, 0.0, 0.0]","[0, 0, 1, 0, 0, 0]","['Qh', '5c']",['folds'],"['9h', '6h']","['calls 110', 'checks', 'calls 235', 'checks', 'folds']","['Kc', 'Jh']","['raises 110 to 210', 'bets 235', 'bets 600']","['8h', 'Qc']",['folds'],"['7h', 'Kh']",['folds'],"['Ks', '3c']",['folds']
,,,[6],150,250,"[-50.0, -100.0, 0.0, 0.0, 0.0, 150.0]","[0, 0, 0, 0, 0, 1]","['Jc', '2c']",['folds'],"['2d', 'Qh']",['folds'],"['9d', 'Jh']",['folds'],"['7c', '8h']",['folds'],"['2s', '4c']",['folds'],"['6s', 'Ks']",['raises 150 to 250']
"['3d', '6h', '9d']",['5s'],,[1],600,1015,"[620.0, -225.0, 0.0, -395.0, 0.0, 0.0]","[1, 0, 0, 0, 0, 0]","['8d', '8s']","['calls 175', 'bets 170', 'bets 600']","['2h', 'Kc']","['calls 125', 'folds']","['4s', '9s']",['folds'],"['Kh', 'Qh']","['raises 125 to 225', 'calls 170', 'folds']","['2s', '7d']",['folds'],"['7h', 'Jh']",['folds']
"['7c', 'Ah', 'Th']",['2s'],['9h'],[1],3500,3500,"[1800.0, -100.0, 0.0, 0.0, -1700.0, 0.0]","[1, 0, 0, 0, 0, 0]","['Ts', 'Ac']","['calls 200', 'checks', 'checks', 'raises 1050 to 1450', 'bets 3500']","['2c', '5c']",['folds'],"['7d', '3c']",['folds'],"['7s', '8d']",['folds'],"['2d', 'Ad']","['raises 150 to 250', 'checks', 'bets 400', 'calls 1050', 'folds']","['4s', '6s']",['folds']
,,,[3],150,250,"[-50.0, -100.0, 150.0, 0.0, 0.0, 0.0]","[0, 0, 1, 0, 0, 0]","['2c', 'Ac']",['folds'],"['8h', '2s']",['folds'],"['Kc', 'Jd']",['raises 150 to 250'],"['Js', '7s']",['folds'],"['6c', 'Ah']",['folds'],"['Ad', '5c']",['folds']
"['Kh', '4d', '9d']",,,[6],450,450,"[-50.0, -200.0, 0.0, 0.0, 0.0, 250.0]","[0, 0, 0, 0, 0, 1]","['9c', '3h']",['folds'],"['7c', '8h']","['calls 100', 'checks', 'folds']","['7h', 'Tc']",['folds'],"['Jc', '3c']",['folds'],"['3s', '2c']",['folds'],"['As', '3d']","['raises 100 to 200', 'bets 450']"
,,,[1],1463,1584,"[947.0, -100.0, -210.0, -637.0, 0.0, 0.0]","[1, 0, 0, 0, 0, 0]","['Ks', 'Kc']",['raises 1463 to 2100'],"['7s', '4c']",['folds'],"['Th', 'Jh']","['raises 110 to 210', 'folds']","['3c', 'Ac']","['raises 427 to 637', 'folds']","['9h', '7h']",['folds'],"['Kd', '8c']",['folds']
"['2d', 'Ts', '8c']",,,[2],645,1210,"[-50.0, 630.0, 0.0, 0.0, -580.0, 0.0]","[0, 1, 0, 0, 0, 0]","['2s', '3d']",['folds'],"['Qc', 'Jc']","['calls 175', 'checks', 'raises 645 to 950']","['7d', '4c']",['folds'],"['Kc', '6d']",['folds'],"['Ad', '9s']","['raises 175 to 275', 'bets 305', 'folds']","['Tc', '5s']",['folds']
"['8h', 'Ah', 'Ks']",['4s'],['Jh'],[1],0,600,"[300.0, -300.0, 0.0, 0.0, 0.0, 0.0]","[1, 1, 0, 0, 0, 0]","['Jd', 'Kc']","['calls 50', 'bets 100', 'checks', 'bets 100']","['3s', '8s']","['checks', 'calls 100', 'checks', 'calls 100']","['2s', '3d']",['folds'],"['9d', 'As']",['folds'],"['5s', 'Jc']",['folds'],"['2c', 'Qh']",['folds']
